contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA260710C00050000,2026-07-09 19:25:49+00:00,50.0,153.77,0.0,0.0,0.0,0.0,55.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00055000,2026-07-09 19:34:58+00:00,55.0,148.17,0.0,0.0,0.0,0.0,37.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00060000,2026-07-09 19:34:58+00:00,60.0,143.27,0.0,0.0,0.0,0.0,38.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00065000,2026-07-09 19:32:12+00:00,65.0,138.33,0.0,0.0,0.0,0.0,163.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00070000,2026-07-09 19:32:12+00:00,70.0,133.43,0.0,0.0,0.0,0.0,26.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00075000,2026-07-09 19:53:28+00:00,75.0,128.85,0.0,0.0,0.0,0.0,49.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00080000,2026-07-09 19:50:07+00:00,80.0,123.47,0.0,0.0,0.0,0.0,80.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00085000,2026-07-09 19:09:45+00:00,85.0,118.41,0.0,0.0,0.0,0.0,84.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00090000,2026-07-09 19:21:21+00:00,90.0,113.58,0.0,0.0,0.0,0.0,63.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00095000,2026-07-09 19:21:21+00:00,95.0,108.68,0.0,0.0,0.0,0.0,60.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00100000,2026-07-09 19:05:09+00:00,100.0,103.71,0.0,0.0,0.0,0.0,86.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00105000,2026-07-09 19:58:57+00:00,105.0,98.2,0.0,0.0,0.0,0.0,87.0,0,1.0000000000000003e-05,True,REGULAR,USD
