contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA260710P00050000,2026-06-01 19:44:15+00:00,50.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
NVDA260710P00055000,2026-06-01 19:44:15+00:00,55.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
NVDA260710P00060000,2026-06-17 19:21:03+00:00,60.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00065000,2026-06-29 19:54:05+00:00,65.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
NVDA260710P00070000,2026-06-29 19:54:42+00:00,70.0,0.01,0.0,0.0,0.0,0.0,1268.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00075000,2026-07-07 19:38:01+00:00,75.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00080000,2026-06-29 19:54:05+00:00,80.0,0.01,0.0,0.0,0.0,0.0,2550.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00085000,2026-06-29 19:52:49+00:00,85.0,0.01,0.0,0.0,0.0,0.0,3800.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00090000,2026-07-02 16:34:11+00:00,90.0,0.01,0.0,0.0,0.0,0.0,87.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00095000,2026-07-09 17:47:52+00:00,95.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00100000,2026-07-09 14:07:15+00:00,100.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00105000,2026-07-07 13:30:04+00:00,105.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00110000,2026-07-08 18:47:47+00:00,110.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00115000,2026-07-06 13:30:06+00:00,115.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00120000,2026-07-07 18:14:50+00:00,120.0,0.01,0.0,0.0,0.0,0.0,15.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00125000,2026-07-06 15:40:22+00:00,125.0,0.01,0.0,0.0,0.0,0.0,31.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00130000,2026-07-07 13:51:10+00:00,130.0,0.01,0.0,0.0,0.0,0.0,20.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00135000,2026-07-07 18:12:51+00:00,135.0,0.01,0.0,0.0,0.0,0.0,183.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00140000,2026-07-08 19:40:29+00:00,140.0,0.01,0.0,0.0,0.0,0.0,15.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00145000,2026-07-08 19:40:05+00:00,145.0,0.01,0.0,0.0,0.0,0.0,30.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00150000,2026-07-09 16:19:08+00:00,150.0,0.01,0.0,0.0,0.0,0.0,17.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00155000,2026-07-09 19:42:32+00:00,155.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00160000,2026-07-09 19:43:38+00:00,160.0,0.01,0.0,0.0,0.0,0.0,61.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00165000,2026-07-09 19:54:30+00:00,165.0,0.01,0.0,0.0,0.0,0.0,72.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00167500,2026-07-09 18:19:58+00:00,167.5,0.01,0.0,0.0,0.0,0.0,286.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00170000,2026-07-09 19:59:29+00:00,170.0,0.01,0.0,0.0,0.0,0.0,443.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00172500,2026-07-09 19:53:49+00:00,172.5,0.01,0.0,0.0,0.0,0.0,595.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00175000,2026-07-09 19:56:38+00:00,175.0,0.01,0.0,0.0,0.0,0.0,4129.0,0.0,0.500005,False,REGULAR,USD
